Epoch,Training Loss,Validation Loss
481,2.9424620606732788e-06,2.6421225811645854e-06
482,3.161489530612016e-06,5.722697096643969e-06
483,3.5505322557582986e-06,6.59461147733964e-06
484,4.513981366471853e-06,3.3271485335717443e-06
485,3.96169980376726e-06,3.720770791915129e-06
486,3.408421889616875e-06,5.3830217439099215e-06
487,2.841627747329767e-06,5.530961516342359e-06
488,3.111003479716601e-06,4.291453933547018e-06
489,2.8528199891297845e-06,3.797330919041997e-06
490,2.4344692519662203e-06,3.4191755275969626e-06
491,1.9119156604574528e-06,2.9399252525763586e-06
492,1.7491863673058106e-06,2.910031525971135e-06
493,3.1139402381086256e-06,3.918686616088962e-06
494,2.9478565011231694e-06,3.5089810808131006e-06
495,3.1189454148261575e-06,2.766623538263957e-06
496,3.326870910314028e-06,5.136429535923526e-06
497,2.907743009927799e-06,4.318514584156219e-06
498,2.453183924444602e-06,3.1603653951606248e-06
499,2.25370922635193e-06,3.4778749977704138e-06
500,2.660744485183386e-06,3.7206998513283907e-06
501,3.0024616535229143e-06,3.3694673220452387e-06
502,1.8695188828132814e-06,3.496890712995082e-06
503,1.9402255020395387e-06,3.2918615033850074e-06
504,1.6962185327429324e-06,2.652119974300149e-06
505,1.2874555750386207e-06,2.5579772682249313e-06
506,1.1225777143408777e-06,2.5055426249309676e-06
507,1.151085484707437e-06,2.2719273147231434e-06
508,1.144097268479527e-06,2.3852396680013044e-06
509,1.0387890370111563e-06,2.3489519662689418e-06
510,1.008810727398668e-06,2.3010263703326927e-06
511,1.0258363545290194e-06,2.2425706447393168e-06
512,1.0326984920538962e-06,2.3346419766312465e-06
513,1.0348660453018965e-06,2.307450131411315e-06
514,1.1394743069104152e-06,2.5072738480957923e-06
515,1.1773271353376913e-06,2.5875249320961302e-06
516,1.275868839911709e-06,2.4358453174500028e-06
517,1.0859137091756565e-06,2.3421459900418995e-06
518,1.0269133099427563e-06,2.223668161605019e-06
519,9.850037940850598e-07,2.2681640530208824e-06
520,9.871963584373589e-07,2.285544951519114e-06
521,1.0874387044168543e-06,2.4506803129042964e-06
522,1.1150983709740103e-06,2.3245215743372682e-06
523,1.0640014806995168e-06,2.273784730277839e-06
524,9.740560926729813e-07,2.1910714167461265e-06
525,9.69992015598109e-07,2.2601670934818685e-06
526,9.740017503645504e-07,2.1554646991717163e-06
527,9.901551720759016e-07,2.222033799625933e-06
528,9.440519761483301e-07,2.2088536297815153e-06
529,9.558374358675792e-07,2.1457042294059647e-06
530,9.247114576282911e-07,2.165818159483024e-06
531,9.032799539454572e-07,2.144066911569098e-06
532,9.063394941222214e-07,2.1687264961656183e-06
533,9.316807449977205e-07,2.158220240744413e-06
534,9.88199303719739e-07,2.1528474007936893e-06
535,9.391355888510589e-07,2.1485429897438735e-06
536,9.217214937962126e-07,2.1720350105169928e-06
537,9.213498515237006e-07,2.158731149393134e-06
538,9.052531027009536e-07,2.1073797142889816e-06
539,9.060041747943615e-07,2.1574076072283788e-06
540,9.107667438001954e-07,2.0942825358361006e-06
541,9.215406748808164e-07,2.14362171391258e-06
542,9.347374430035416e-07,2.1394830582721625e-06
543,9.222106882589287e-07,2.244012193841627e-06
544,1.0309820481779752e-06,2.1925313831161475e-06
545,9.658361932451953e-07,2.0943614345014794e-06
546,9.150253390544094e-07,2.129484755641897e-06
547,9.184956866192806e-07,2.084884727082681e-06
548,9.193307164423459e-07,2.121488705597585e-06
549,8.855029705046036e-07,2.0575148482748773e-06
550,8.814042189442262e-07,2.1093330815347144e-06
551,9.063469406100921e-07,2.1045439098088536e-06
552,9.407398238181486e-07,2.1245382413326297e-06
553,1.0911888921327773e-06,2.1841183297510725e-06
554,9.974562544812215e-07,2.1359851416491438e-06
555,1.0508362038308405e-06,2.086345148200053e-06
556,1.0391825071565108e-06,2.2741419343219604e-06
557,9.62976400842308e-07,2.188252210544306e-06
558,9.128622764364991e-07,2.037244939856464e-06
559,8.733484833101102e-07,2.112849415425444e-06
560,8.996839824249037e-07,2.0919308099109912e-06
561,9.211266842612531e-07,2.0797883735212963e-06
562,9.32455236579699e-07,2.4329997359018307e-06
563,1.1904298844456207e-06,2.225347543571843e-06
564,9.8698274086928e-07,2.2865410755912308e-06
565,9.69377424553386e-07,2.114770040861913e-06
566,1.0026017207565019e-06,2.1385735635703895e-06
567,1.0502146778890165e-06,2.2803865249443334e-06
